Path,Predicted Emotion,True Emotion
archive-2/audio_speech_actors_01-24/Actor_03/03-01-04-02-02-02-03.wav,angry,sad
archive-2/audio_speech_actors_01-24/Actor_03/03-01-07-02-02-01-03.wav,disgust,disgust
archive-2/audio_speech_actors_01-24/Actor_03/03-01-07-01-01-01-03.wav,disgust,disgust
archive-2/audio_speech_actors_01-24/Actor_03/03-01-04-01-01-02-03.wav,disgust,sad
archive-2/audio_speech_actors_01-24/Actor_03/03-01-06-02-01-02-03.wav,angry,fear
archive-2/audio_speech_actors_01-24/Actor_03/03-01-05-02-01-01-03.wav,angry,angry
archive-2/audio_speech_actors_01-24/Actor_03/03-01-05-01-02-01-03.wav,disgust,angry
archive-2/audio_speech_actors_01-24/Actor_03/03-01-06-01-02-02-03.wav,disgust,fear
archive-2/audio_speech_actors_01-24/Actor_03/03-01-08-01-01-01-03.wav,disgust,surprise
archive-2/audio_speech_actors_01-24/Actor_03/03-01-08-02-02-01-03.wav,disgust,surprise
archive-2/audio_speech_actors_01-24/Actor_03/03-01-01-01-02-02-03.wav,disgust,neutral
archive-2/audio_speech_actors_01-24/Actor_03/03-01-02-01-02-01-03.wav,disgust,calm
archive-2/audio_speech_actors_01-24/Actor_03/03-01-02-02-01-01-03.wav,disgust,calm
archive-2/audio_speech_actors_01-24/Actor_03/03-01-03-01-01-02-03.wav,disgust,happy
archive-2/audio_speech_actors_01-24/Actor_03/03-01-03-02-02-02-03.wav,happy,happy
archive-2/audio_speech_actors_01-24/Actor_03/03-01-02-01-01-02-03.wav,disgust,calm
archive-2/audio_speech_actors_01-24/Actor_03/03-01-01-01-01-01-03.wav,disgust,neutral
archive-2/audio_speech_actors_01-24/Actor_03/03-01-02-02-02-02-03.wav,disgust,calm
archive-2/audio_speech_actors_01-24/Actor_03/03-01-03-01-02-01-03.wav,disgust,happy
archive-2/audio_speech_actors_01-24/Actor_03/03-01-03-02-01-01-03.wav,happy,happy
archive-2/audio_speech_actors_01-24/Actor_03/03-01-07-02-01-02-03.wav,disgust,disgust
archive-2/audio_speech_actors_01-24/Actor_03/03-01-04-02-01-01-03.wav,disgust,sad
archive-2/audio_speech_actors_01-24/Actor_03/03-01-04-01-02-01-03.wav,disgust,sad
archive-2/audio_speech_actors_01-24/Actor_03/03-01-07-01-02-02-03.wav,disgust,disgust
archive-2/audio_speech_actors_01-24/Actor_03/03-01-05-02-02-02-03.wav,angry,angry
archive-2/audio_speech_actors_01-24/Actor_03/03-01-06-02-02-01-03.wav,angry,fear
archive-2/audio_speech_actors_01-24/Actor_03/03-01-06-01-01-01-03.wav,disgust,fear
archive-2/audio_speech_actors_01-24/Actor_03/03-01-05-01-01-02-03.wav,disgust,angry
archive-2/audio_speech_actors_01-24/Actor_03/03-01-08-01-02-02-03.wav,disgust,surprise
archive-2/audio_speech_actors_01-24/Actor_03/03-01-08-02-01-02-03.wav,disgust,surprise
archive-2/audio_speech_actors_01-24/Actor_03/03-01-03-02-02-01-03.wav,angry,happy
archive-2/audio_speech_actors_01-24/Actor_03/03-01-03-01-01-01-03.wav,disgust,happy
archive-2/audio_speech_actors_01-24/Actor_03/03-01-02-02-01-02-03.wav,disgust,calm
archive-2/audio_speech_actors_01-24/Actor_03/03-01-02-01-02-02-03.wav,disgust,calm
archive-2/audio_speech_actors_01-24/Actor_03/03-01-01-01-02-01-03.wav,disgust,neutral
archive-2/audio_speech_actors_01-24/Actor_03/03-01-06-01-02-01-03.wav,disgust,fear
archive-2/audio_speech_actors_01-24/Actor_03/03-01-05-01-02-02-03.wav,disgust,angry
archive-2/audio_speech_actors_01-24/Actor_03/03-01-05-02-01-02-03.wav,angry,angry
archive-2/audio_speech_actors_01-24/Actor_03/03-01-06-02-01-01-03.wav,angry,fear
archive-2/audio_speech_actors_01-24/Actor_03/03-01-04-01-01-01-03.wav,disgust,sad
archive-2/audio_speech_actors_01-24/Actor_03/03-01-07-01-01-02-03.wav,disgust,disgust
archive-2/audio_speech_actors_01-24/Actor_03/03-01-07-02-02-02-03.wav,disgust,disgust
archive-2/audio_speech_actors_01-24/Actor_03/03-01-04-02-02-01-03.wav,happy,sad
archive-2/audio_speech_actors_01-24/Actor_03/03-01-08-02-02-02-03.wav,disgust,surprise
archive-2/audio_speech_actors_01-24/Actor_03/03-01-08-01-01-02-03.wav,disgust,surprise
archive-2/audio_speech_actors_01-24/Actor_03/03-01-05-01-01-01-03.wav,disgust,angry
archive-2/audio_speech_actors_01-24/Actor_03/03-01-06-01-01-02-03.wav,disgust,fear
archive-2/audio_speech_actors_01-24/Actor_03/03-01-06-02-02-02-03.wav,angry,fear
archive-2/audio_speech_actors_01-24/Actor_03/03-01-05-02-02-01-03.wav,angry,angry
archive-2/audio_speech_actors_01-24/Actor_03/03-01-07-01-02-01-03.wav,disgust,disgust
archive-2/audio_speech_actors_01-24/Actor_03/03-01-04-01-02-02-03.wav,disgust,sad
archive-2/audio_speech_actors_01-24/Actor_03/03-01-04-02-01-02-03.wav,disgust,sad
archive-2/audio_speech_actors_01-24/Actor_03/03-01-07-02-01-01-03.wav,disgust,disgust
archive-2/audio_speech_actors_01-24/Actor_03/03-01-08-02-01-01-03.wav,disgust,surprise
archive-2/audio_speech_actors_01-24/Actor_03/03-01-08-01-02-01-03.wav,disgust,surprise
archive-2/audio_speech_actors_01-24/Actor_03/03-01-03-02-01-02-03.wav,angry,happy
archive-2/audio_speech_actors_01-24/Actor_03/03-01-03-01-02-02-03.wav,disgust,happy
archive-2/audio_speech_actors_01-24/Actor_03/03-01-02-02-02-01-03.wav,disgust,calm
archive-2/audio_speech_actors_01-24/Actor_03/03-01-01-01-01-02-03.wav,disgust,neutral
archive-2/audio_speech_actors_01-24/Actor_03/03-01-02-01-01-01-03.wav,disgust,calm
archive-2/audio_speech_actors_01-24/Actor_02/03-01-06-01-02-02-02.wav,disgust,fear
archive-2/audio_speech_actors_01-24/Actor_02/03-01-05-01-02-01-02.wav,disgust,angry
archive-2/audio_speech_actors_01-24/Actor_02/03-01-05-02-01-01-02.wav,angry,angry
archive-2/audio_speech_actors_01-24/Actor_02/03-01-06-02-01-02-02.wav,fear,fear
archive-2/audio_speech_actors_01-24/Actor_02/03-01-04-01-01-02-02.wav,disgust,sad
archive-2/audio_speech_actors_01-24/Actor_02/03-01-07-01-01-01-02.wav,disgust,disgust
archive-2/audio_speech_actors_01-24/Actor_02/03-01-07-02-02-01-02.wav,disgust,disgust
archive-2/audio_speech_actors_01-24/Actor_02/03-01-04-02-02-02-02.wav,disgust,sad
archive-2/audio_speech_actors_01-24/Actor_02/03-01-08-02-02-01-02.wav,disgust,surprise
archive-2/audio_speech_actors_01-24/Actor_02/03-01-08-01-01-01-02.wav,disgust,surprise
archive-2/audio_speech_actors_01-24/Actor_02/03-01-03-02-02-02-02.wav,disgust,happy
archive-2/audio_speech_actors_01-24/Actor_02/03-01-03-01-01-02-02.wav,disgust,happy
archive-2/audio_speech_actors_01-24/Actor_02/03-01-02-02-01-01-02.wav,disgust,calm
archive-2/audio_speech_actors_01-24/Actor_02/03-01-02-01-02-01-02.wav,disgust,calm
archive-2/audio_speech_actors_01-24/Actor_02/03-01-01-01-02-02-02.wav,disgust,neutral
archive-2/audio_speech_actors_01-24/Actor_02/03-01-03-02-01-01-02.wav,happy,happy
archive-2/audio_speech_actors_01-24/Actor_02/03-01-03-01-02-01-02.wav,disgust,happy
archive-2/audio_speech_actors_01-24/Actor_02/03-01-02-02-02-02-02.wav,disgust,calm
archive-2/audio_speech_actors_01-24/Actor_02/03-01-01-01-01-01-02.wav,disgust,neutral
archive-2/audio_speech_actors_01-24/Actor_02/03-01-02-01-01-02-02.wav,disgust,calm
archive-2/audio_speech_actors_01-24/Actor_02/03-01-05-01-01-02-02.wav,disgust,angry
archive-2/audio_speech_actors_01-24/Actor_02/03-01-06-01-01-01-02.wav,disgust,fear
archive-2/audio_speech_actors_01-24/Actor_02/03-01-06-02-02-01-02.wav,angry,fear
archive-2/audio_speech_actors_01-24/Actor_02/03-01-05-02-02-02-02.wav,angry,angry
archive-2/audio_speech_actors_01-24/Actor_02/03-01-07-01-02-02-02.wav,disgust,disgust
archive-2/audio_speech_actors_01-24/Actor_02/03-01-04-01-02-01-02.wav,disgust,sad
archive-2/audio_speech_actors_01-24/Actor_02/03-01-04-02-01-01-02.wav,disgust,sad
archive-2/audio_speech_actors_01-24/Actor_02/03-01-07-02-01-02-02.wav,disgust,disgust
archive-2/audio_speech_actors_01-24/Actor_02/03-01-08-02-01-02-02.wav,disgust,surprise
archive-2/audio_speech_actors_01-24/Actor_02/03-01-08-01-02-02-02.wav,disgust,surprise
archive-2/audio_speech_actors_01-24/Actor_02/03-01-01-01-02-01-02.wav,disgust,neutral
archive-2/audio_speech_actors_01-24/Actor_02/03-01-02-01-02-02-02.wav,disgust,calm
archive-2/audio_speech_actors_01-24/Actor_02/03-01-02-02-01-02-02.wav,disgust,calm
archive-2/audio_speech_actors_01-24/Actor_02/03-01-03-01-01-01-02.wav,disgust,happy
archive-2/audio_speech_actors_01-24/Actor_02/03-01-03-02-02-01-02.wav,happy,happy
archive-2/audio_speech_actors_01-24/Actor_02/03-01-04-02-02-01-02.wav,disgust,sad
